machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
pi-i9-13900k	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	3	0.35	0.352803	52	pdOPT	-5.3812637297885203e-01	6.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	1	15.3	15.237841	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	2	15.31	15.252589	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	3	15.3	15.241370	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	1	16.54	16.500199	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	2	16.54	16.497459	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	3	16.56	16.514193	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	0.34	0.342998	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0	out_main/rows_Amin_t16.tsv
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	2	0.34	0.344266	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0	out_main/rows_Amin_t16.tsv
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	3	0.35	0.347835	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0	out_main/rows_Amin_t16.tsv
