machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
symmetry-xeon6148	gmp	8_min	19	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	0.85	0.833361	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	0.85	0.831845	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	0.86	0.832410	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	0.81	0.783388	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	0.81	0.782413	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	0.81	0.784104	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	10_min	74	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	22.09	21.951000	61	pdOPT	-4.7926054387208136e-01	13.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	10_min	74	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	2	22.11	21.974819	61	pdOPT	-4.7926054387208136e-01	13.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	10_min	74	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	3	22.08	21.940203	61	pdOPT	-4.7926054387208136e-01	13.6	ok	0	out_main/rows_Amin_t32.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	10.27	10.082560	61	pdOPT	-4.7926054387208136e-01	21.1	ok	0	out_main/rows_Amin_t32.tsv
