machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	0.34	0.342998	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	2	0.34	0.344266	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0
pi-i9-13900k	gmp	8_min	19	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	3	0.35	0.347835	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0
pi-i9-13900k	gmp	8_min	19	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	0.4	0.399070	52	pdOPT	-5.3812637297885203e-01	5.5	ok	0
pi-i9-13900k	gmp	8_min	19	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	2	0.4	0.401284	52	pdOPT	-5.3812637297885203e-01	5.9	ok	0
pi-i9-13900k	gmp	8_min	19	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	3	0.4	0.400541	52	pdOPT	-5.3812637297885203e-01	5.5	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	5.07	5.009329	61	pdOPT	-4.7926054387208136e-01	16.9	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	2	5.12	5.056746	61	pdOPT	-4.7926054387208136e-01	16.9	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	3	5.07	5.010761	61	pdOPT	-4.7926054387208136e-01	16.8	ok	0
pi-i9-13900k	gmp	10_min	74	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	9.72	9.675753	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0
pi-i9-13900k	gmp	10_min	74	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	2	9.8	9.755632	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0
pi-i9-13900k	gmp	10_min	74	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	3	9.79	9.743815	61	pdOPT	-4.7926054387208136e-01	13.0	ok	0
