machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	0.34	0.345858	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	0.34	0.345726	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
pi-i9-13900k	gmp	8_min	19	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	0.34	0.345696	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	0.33	0.328951	52	pdOPT	-5.3812637297885203e-01	5.8	ok	0
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	0.33	0.330032	52	pdOPT	-5.3812637297885203e-01	5.6	ok	0
pi-i9-13900k	gmp	8_min	19	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	0.33	0.330632	52	pdOPT	-5.3812637297885203e-01	6.1	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	6.84	6.777318	61	pdOPT	-4.7926054387208136e-01	13.3	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	6.83	6.768494	61	pdOPT	-4.7926054387208136e-01	13.8	ok	0
pi-i9-13900k	gmp	10_min	74	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	6.84	6.779691	61	pdOPT	-4.7926054387208136e-01	13.6	ok	0
pi-i9-13900k	gmp	10_min	74	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	10.59	10.543748	61	pdOPT	-4.7926054387208136e-01	12.9	ok	0
pi-i9-13900k	gmp	10_min	74	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	2	10.62	10.580079	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0
pi-i9-13900k	gmp	10_min	74	up_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	3	10.61	10.565209	61	pdOPT	-4.7926054387208136e-01	13.0	ok	0
