machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
thanos-epyc7232p	gmp	control1	21	up_t2	2	0,1	33f968827a10dca7	1	0.24	0.235483	46	pdOPT	1.7784626717523405e+01	11.7	ok	0
thanos-epyc7232p	gmp	control1	21	up_t2	2	0,1	33f968827a10dca7	2	0.24	0.235049	46	pdOPT	1.7784626717523405e+01	11.6	ok	0
thanos-epyc7232p	gmp	control1	21	up_t2	2	0,1	33f968827a10dca7	3	0.24	0.233455	46	pdOPT	1.7784626717523405e+01	11.4	ok	0
thanos-epyc7232p	gmp	control1	21	fork_t2	2	0,1	33f968827a10dca7	1	0.23	0.221734	46	pdOPT	1.7784626717523405e+01	11.7	ok	0
thanos-epyc7232p	gmp	control1	21	fork_t2	2	0,1	33f968827a10dca7	2	0.23	0.222351	46	pdOPT	1.7784626717523405e+01	11.7	ok	0
thanos-epyc7232p	gmp	control1	21	fork_t2	2	0,1	33f968827a10dca7	3	0.23	0.220887	46	pdOPT	1.7784626717523405e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t2	2	0,1	33f968827a10dca7	1	3.89	3.872414	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t2	2	0,1	33f968827a10dca7	2	3.89	3.872158	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t2	2	0,1	33f968827a10dca7	3	3.88	3.860388	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t2	2	0,1	33f968827a10dca7	1	2.40	2.379482	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t2	2	0,1	33f968827a10dca7	2	2.44	2.429389	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t2	2	0,1	33f968827a10dca7	3	2.44	2.426349	43	pdOPT	2.3000000000000000e+01	11.8	ok	0
thanos-epyc7232p	gmp	gpp100	101	up_t2	2	0,1	33f968827a10dca7	1	42.52	42.466629	61	pFEAS	-4.4943550775891146e+01	17.4	ok	0
thanos-epyc7232p	gmp	gpp100	101	up_t2	2	0,1	33f968827a10dca7	2	42.10	42.047493	61	pFEAS	-4.4943550775891146e+01	17.4	ok	0
thanos-epyc7232p	gmp	gpp100	101	up_t2	2	0,1	33f968827a10dca7	3	41.99	41.935876	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
thanos-epyc7232p	gmp	gpp100	101	fork_t2	2	0,1	33f968827a10dca7	1	22.46	22.417833	61	pFEAS	-4.4943550775891146e+01	16.7	partial	3
thanos-epyc7232p	gmp	gpp100	101	fork_t2	2	0,1	33f968827a10dca7	2	22.54	22.498060	61	pFEAS	-4.4943550775891146e+01	16.8	partial	3
thanos-epyc7232p	gmp	gpp100	101	fork_t2	2	0,1	33f968827a10dca7	3	22.77	22.720448	61	pFEAS	-4.4943550775891146e+01	16.9	partial	3
thanos-epyc7232p	gmp	truss5	208	up_t2	2	0,1	33f968827a10dca7	1	13.62	13.582980	48	pdOPT	-1.3263567797250604e+02	12.7	ok	0
thanos-epyc7232p	gmp	truss5	208	up_t2	2	0,1	33f968827a10dca7	2	13.75	13.710559	48	pdOPT	-1.3263567797250604e+02	12.8	ok	0
thanos-epyc7232p	gmp	truss5	208	up_t2	2	0,1	33f968827a10dca7	3	13.67	13.632058	48	pdOPT	-1.3263567797250604e+02	12.9	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t2	2	0,1	33f968827a10dca7	1	10.90	10.863251	48	pdOPT	-1.3263567797250604e+02	12.5	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t2	2	0,1	33f968827a10dca7	2	10.89	10.853268	48	pdOPT	-1.3263567797250604e+02	12.6	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t2	2	0,1	33f968827a10dca7	3	11.02	10.984938	48	pdOPT	-1.3263567797250604e+02	12.6	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t2	2	0,1	33f968827a10dca7	1	157.98	157.872925	53	pdOPT	5.6651727321592959e-01	36.7	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t2	2	0,1	33f968827a10dca7	2	159.51	159.401809	53	pdOPT	5.6651727321592959e-01	36.3	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t2	2	0,1	33f968827a10dca7	3	157.91	157.802497	53	pdOPT	5.6651727321592959e-01	35.8	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t2	2	0,1	33f968827a10dca7	1	75.77	75.672956	53	pdOPT	5.6651727321592959e-01	33.9	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t2	2	0,1	33f968827a10dca7	2	76.12	76.031442	53	pdOPT	5.6651727321592959e-01	33.9	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t2	2	0,1	33f968827a10dca7	3	75.53	75.441040	53	pdOPT	5.6651727321592959e-01	33.8	ok	0
